	R	jQuery()										
jQuery.sub()	A			jQuery Core							<section class="prog__container"><p>Creates a new copy of jQuery whose properties and methods can be modified without affecting the original jQuery object.</p><pre><code>jQuery.sub() → jQuery</code></pre></section>	https://api.jquery.com/jQuery.sub/
jQuery.support	A			jQuery Properties\njQuery Global Jquery Object Properties\njQuery Utilities							<section class="prog__container"><p>A collection of properties that represent the presence of different browser features or bugs. Intended for jQuery's internal use; specific properties may be removed when they are no longer needed internally to improve page startup performance. For your own project's feature-detection needs, we strongly recommend the use of an external library such as Modernizr instead of dependency on properties in jQuery.support.</p><pre><code>jQuery.support() → Object</code></pre></section>	https://api.jquery.com/jQuery.support/
jQuery.trim	R	jQuery.trim()										
jQuery.trim()	A			jQuery Utilities							<section class="prog__container"><p>Remove the whitespace from the beginning and end of a string.</p><pre><code>jQuery.trim(str) → String</code></pre><p>Arguments</p><pre><code>str (String) : The string to trim.</code></pre></section>	https://api.jquery.com/jQuery.trim/
jQuery.type	R	jQuery.type()										
jQuery.type()	A			jQuery Utilities							<section class="prog__container"><p>Determine the internal JavaScript [[Class]] of an object.</p><pre><code>jQuery.type(obj) → String</code></pre><p>Arguments</p><pre><code>obj (Anything) : Object to get the internal JavaScript [[Class]] of.</code></pre></section>	https://api.jquery.com/jQuery.type/
jQuery.unique	R	jQuery.unique()										
jQuery.unique()	A			jQuery Utilities							<section class="prog__container"><p>Sorts an array of DOM elements, in place, with the duplicates removed. Note that this only works on arrays of DOM elements, not strings or numbers.</p><pre><code>jQuery.unique(array) → Array</code></pre><p>Arguments</p><pre><code>array (Array) : The Array of DOM elements.</code></pre></section>	https://api.jquery.com/jQuery.unique/
jQuery.uniqueSort	R	jQuery.uniqueSort()										
jQuery.uniqueSort()	A			jQuery Utilities							<section class="prog__container"><p>Sorts an array of DOM elements, in place, with the duplicates removed. Note that this only works on arrays of DOM elements, not strings or numbers.</p><pre><code>jQuery.uniqueSort(array) → Array</code></pre><p>Arguments</p><pre><code>array (Array) : The Array of DOM elements.</code></pre></section>	https://api.jquery.com/jQuery.uniqueSort/
jQuery.when	R	jQuery.when()										
jQuery.when()	A			jQuery Core\njQuery Deferred Object							<section class="prog__container"><p>Provides a way to execute callback functions based on zero or more objects, usually Deferred objects that represent asynchronous events.</p><pre><code>jQuery.when(deferreds) → Promise</code></pre><p>Arguments</p><pre><code>deferreds (Deferred) : Zero or more Deferred objects, or plain JavaScript objects.</code></pre></section>	https://api.jquery.com/jQuery.when/
jquery	R	.jquery										
keydown	R	.keydown()										
keydown event	R	.keydown()										
keydown()	R	.keydown()										
keydown() event	R	.keydown()										
keypress	R	.keypress()										
keypress event	R	.keypress()										
keypress()	R	.keypress()										
keypress() event	R	.keypress()										
keyup	R	.keyup()										
keyup event	R	.keyup()										
keyup()	R	.keyup()										
keyup() event	R	.keyup()										
lang selector	R	:lang() Selector										
last	R	.last()										
last child selector	R	:last-child Selector										
last of type selector	R	:last-of-type Selector										
last selector	R	:last Selector										
last()	R	.last()										
length	R	.length										
live	R	.live()										
live event	R	.live()										
live()	R	.live()										
live() event	R	.live()										
load	R	.load()										
load event	R	.load()										
load()	R	.load()										
load() event	R	.load()										
lock	R	callbacks.lock()										
lock()	R	callbacks.lock()										
locked	R	callbacks.locked()										
locked()	R	callbacks.locked()										
lt selector	R	:lt() Selector										
make array	R	jQuery.makeArray()										
makeArray	R	jQuery.makeArray()										
makeArray()	R	jQuery.makeArray()										
makearray	R	jQuery.makeArray()										
map	R	.map()										
map()	R	.map()										
merge	R	jQuery.merge()										
merge()	R	jQuery.merge()										
meta key	R	event.metaKey										
metaKey	R	event.metaKey										
metakey	R	event.metaKey										
mouse down	R	.mousedown()										
mouse down event	R	.mousedown()										
mouse enter	R	.mouseenter()										
mouse enter event	R	.mouseenter()										
mouse leave	R	.mouseleave()										
mouse leave event	R	.mouseleave()										
mouse move	R	.mousemove()										
mouse move event	R	.mousemove()										
mouse out	R	.mouseout()										
mouse out event	R	.mouseout()										
mouse over	R	.mouseover()										
mouse over event	R	.mouseover()										
mouse up	R	.mouseup()										
mouse up event	R	.mouseup()										
mousedown	R	.mousedown()										
mousedown event	R	.mousedown()										
mousedown()	R	.mousedown()										
mousedown() event	R	.mousedown()										
mouseenter	R	.mouseenter()										
mouseenter event	R	.mouseenter()										
mouseenter()	R	.mouseenter()										
mouseenter() event	R	.mouseenter()										
mouseleave	R	.mouseleave()										
mouseleave event	R	.mouseleave()										
mouseleave()	R	.mouseleave()										
mouseleave() event	R	.mouseleave()										
mousemove	R	.mousemove()										
mousemove event	R	.mousemove()										
mousemove()	R	.mousemove()										
mousemove() event	R	.mousemove()										
mouseout	R	.mouseout()										
mouseout event	R	.mouseout()										
mouseout()	R	.mouseout()										
mouseout() event	R	.mouseout()										
mouseover	R	.mouseover()										
mouseover event	R	.mouseover()										
mouseover()	R	.mouseover()										
mouseover() event	R	.mouseover()										
mouseup	R	.mouseup()										
mouseup event	R	.mouseup()										
mouseup()	R	.mouseup()										
mouseup() event	R	.mouseup()										
multiple attribute selector	R	Multiple Attribute Selector										
multiple selector	R	Multiple Selector										
namespace	R	event.namespace										
next	R	.next()										
next adjacent selector	R	Next Adjacent Selector										
next all	R	.nextAll()										
next siblings selector	R	Next Siblings Selector										
next until	R	.nextUntil()										
next()	R	.next()										
nextAll	R	.nextAll()										
nextAll()	R	.nextAll()										
nextUntil	R	.nextUntil()										
nextUntil()	R	.nextUntil()										
nextall	R	.nextAll()										
nextuntil	R	.nextUntil()										
no conflict	R	jQuery.noConflict()										
noConflict	R	jQuery.noConflict()										
noConflict()	R	jQuery.noConflict()										
noconflict	R	jQuery.noConflict()										
noop	R	jQuery.noop()										
noop()	R	jQuery.noop()										
not	R	.not()										
not selector	R	:not() Selector										
not()	R	.not()										
notify	R	deferred.notify()										
notify with	R	deferred.notifyWith()										
notify()	R	deferred.notify()										
notifyWith	R	deferred.notifyWith()										
notifyWith()	R	deferred.notifyWith()										
notifywith	R	deferred.notifyWith()										
now	R	jQuery.now()										
now()	R	jQuery.now()										
nth child selector	R	:nth-child() Selector										
nth last child selector	R	:nth-last-child() Selector										
nth last of type selector	R	:nth-last-of-type() Selector										
nth of type selector	R	:nth-of-type() Selector										
odd selector	R	:odd Selector										
off	R	.off()										
off event	R	.off()										
off()	R	.off()										
off() event	R	.off()										
offset	R	.offset()										
offset parent	R	.offsetParent()										
offset()	R	.offset()										
offsetParent	R	.offsetParent()										
offsetParent()	R	.offsetParent()										
offsetparent	R	.offsetParent()										
on	R	.on()										
on .bind	R	.bind()										
on .bind()	R	.bind()										
on .blur	R	.blur()										
on .blur()	R	.blur()										
on .change	R	.change()										
on .change()	R	.change()										
on .click	R	.click()										
on .click()	R	.click()										
on .contextmenu	R	.contextmenu()										
on .contextmenu()	R	.contextmenu()										
on .dblclick	R	.dblclick()										
on .dblclick()	R	.dblclick()										
on .delegate	R	.delegate()										
on .delegate()	R	.delegate()										
on .die	R	.die()										
on .die()	R	.die()										
on .error	R	.error()										
on .error()	R	.error()										
on .focus	R	.focus()										
on .focus()	R	.focus()										
on .focusin	R	.focusin()										
on .focusin()	R	.focusin()										
on .focusout	R	.focusout()										
on .focusout()	R	.focusout()										
on .hover	R	.hover()										
on .hover()	R	.hover()										
on .keydown	R	.keydown()										
on .keydown()	R	.keydown()										
on .keypress	R	.keypress()										
on .keypress()	R	.keypress()										
on .keyup	R	.keyup()										
on .keyup()	R	.keyup()										
on .live	R	.live()										
on .live()	R	.live()										
on .load	R	.load()										
on .load()	R	.load()										
on .mousedown	R	.mousedown()										
on .mousedown()	R	.mousedown()										
on .mouseenter	R	.mouseenter()										
on .mouseenter()	R	.mouseenter()										
on .mouseleave	R	.mouseleave()										
on .mouseleave()	R	.mouseleave()										
on .mousemove	R	.mousemove()										
on .mousemove()	R	.mousemove()										
on .mouseout	R	.mouseout()										
on .mouseout()	R	.mouseout()										
on .mouseover	R	.mouseover()										
on .mouseover()	R	.mouseover()										
on .mouseup	R	.mouseup()										
on .mouseup()	R	.mouseup()										
on .off	R	.off()										
on .off()	R	.off()										
on .on	R	.on()										
on .on()	R	.on()										
